iter	Passed	Remaining
1398	163696	70322
1399	163815	70206
1400	163940	70092
1401	164060	69977
1402	164178	69860
1403	164291	69741
1404	164392	69618
1405	164495	69495
1406	164608	69376
1407	164717	69256
1408	164820	69133
1409	164932	69014
1410	165044	68895
1411	165170	68782
1412	165276	68660
1413	165391	68542
1414	165500	68422
1415	165615	68304
1416	165720	68182
1417	165839	68066
1418	165944	67944
1419	166057	67826
1420	166170	67707
1421	166295	67594
1422	166393	67469
1423	166505	67350
1424	166598	67223
1425	166709	67104
1426	166833	66990
1427	166945	66871
1428	167061	66754
1429	167184	66639
1430	167317	66529
1431	167430	66411
1432	167541	66291
1433	167651	66172
1434	167756	66050
1435	167869	65932
1436	167997	65819
1437	168095	65695
1438	168209	65577
1439	168317	65456
1440	168418	65333
1441	168517	65209
1442	168615	65085
1443	168726	64966
1444	168851	64853
1445	168967	64735
1446	169082	64618
1447	169197	64500
1448	169307	64381
1449	169436	64269
1450	169559	64154
1451	169659	64031
1452	169781	63916
1453	169888	63795
1454	169986	63671
1455	170108	63556
1456	170218	63437
1457	170331	63319
1458	170428	63195
1459	170605	63100
1460	170707	62978
1461	170825	62861
1462	170940	62744
1463	171054	62626
1464	171177	62511
1465	171288	62392
1466	171388	62270
1467	171530	62162
1468	171659	62049
1469	171810	61945
1470	171957	61839
1471	172096	61730
1472	172215	61613
1473	172333	61497
1474	172452	61381
1475	172558	61260
1476	172686	61147
1477	172792	61026
1478	172908	60909
1479	173030	60794
1480	173145	60676
1481	173263	60560
1482	173372	60440
1483	173489	60324
1484	173596	60203
1485	173713	60086
1486	173861	59980
1487	174003	59872
1488	174131	59759
1489	174237	59638
1490	174336	59515
1491	174437	59392
1492	174561	59278
1493	174680	59162
1494	174785	59041
1495	174893	58921
1496	175000	58801
1497	175096	58677
1498	175220	58562
1499	175322	58440
1500	175434	58322
1501	175547	58204
1502	175666	58087
1503	175767	57965
1504	175891	57851
1505	176004	57733
1506	176123	57617
1507	176256	57505
1508	176384	57392
1509	176523	57282
1510	176638	57164
1511	176784	57057
1512	176904	56941
1513	177016	56822
1514	177131	56705
1515	177236	56584
1516	177348	56466
1517	177457	56346
1518	177557	56224
1519	177668	56105
1520	177776	55986
1521	177899	55871
1522	178046	55763
1523	178142	55640
1524	178234	55515
1525	178338	55394
1526	178448	55275
1527	178577	55162
1528	178712	55051
1529	178825	54933
1530	178948	54818
1531	179040	54693
1532	179161	54578
1533	179258	54455
1534	179370	54337
1535	179459	54211
1536	179570	54093
1537	179692	53977
1538	179819	53863
1539	179942	53748
1540	180053	53630
1541	180171	53513
1542	180269	53391
1543	180381	53273
1544	180494	53155
1545	180598	53034
1546	180713	52917
1547	180847	52805
1548	180966	52689
1549	181078	52571
1550	181196	52454
1551	181309	52336
1552	181441	52224
1553	181532	52100
1554	181650	51983
1555	181739	51858
1556	181866	51745
1557	181971	51624
1558	182092	51509
1559	182223	51396
1560	182349	51282
1561	182477	51168
1562	182582	51048
1563	182684	50927
1564	182786	50806
1565	182886	50685
1566	182996	50566
1567	183121	50451
1568	183242	50336
1569	183357	50218
1570	183481	50104
1571	183591	49985
1572	183707	49868
1573	183818	49750
1574	183925	49630
1575	184022	49508
1576	184142	49392
1577	184250	49273
1578	184358	49154
1579	184454	49032
1580	184572	48915
1581	184676	48795
1582	184789	48678
1583	184904	48560
1584	185012	48441
1585	185133	48326
1586	185243	48207
1587	185351	48088
1588	185525	47986
1589	185646	47871
1590	185753	47751
1591	185873	47635
1592	185981	47516
1593	186121	47406
1594	186235	47288
1595	186338	47168
1596	186444	47048
1597	186569	46934
1598	186694	46819
1599	186817	46704
1600	186924	46585
1601	187037	46467
1602	187145	46348
1603	187252	46229
1604	187354	46108
1605	187446	45986
1606	187557	45868
1607	187686	45754
1608	187814	45640
1609	187922	45521
1610	188033	45403
1611	188153	45287
1612	188278	45172
1613	188377	45051
1614	188474	44930
1615	188588	44813
1616	188714	44698
1617	188845	44585
1618	188962	44468
1619	189060	44347
1620	189157	44226
1621	189288	44112
1622	189441	44004
1623	189551	43886
1624	189649	43765
1625	189767	43648
1626	189901	43536
1627	190044	43425
1628	190168	43310
1629	190276	43191
1630	190390	43074
1631	190500	42955
1632	190615	42838
1633	190728	42721
1634	190847	42605
1635	190972	42490
1636	191071	42369
1637	191181	42251
1638	191290	42133
1639	191418	42018
1640	191540	41903
1641	191656	41786
1642	191769	41668
1643	191896	41554
1644	192007	41436
1645	192134	41321
1646	192265	41208
1647	192386	41092
1648	192564	40988
1649	192695	40874
1650	192809	40757
1651	192926	40640
1652	193061	40527
1653	193170	40409
1654	193275	40290
1655	193385	40171
1656	193502	40055
1657	193622	39939
1658	193726	39819
1659	193853	39704
